時刻,右目x座標,右目y座標,左目x座標,左目y座標,右目瞳孔径,左目瞳孔径,右目TorF,左目TorF
42:17.7,0.320612937,0.147183552,0.306139171,0.123015836,3.010604858,2.825408936,TRUE,TRUE
42:17.7,0.319887429,0.147339046,0.306624085,0.121449351,3.02230835,2.833938599,TRUE,TRUE
42:17.7,0.319887429,0.147339046,0.306624085,0.121449351,3.02230835,2.833938599,TRUE,TRUE
42:17.7,0.319887429,0.147339046,0.306624085,0.121449351,3.02230835,2.833938599,TRUE,TRUE
42:17.7,0.318706125,0.143988952,0.30733481,0.124075241,3.032623291,2.843338013,TRUE,TRUE
42:17.7,0.318706125,0.143988952,0.30733481,0.124075241,3.032623291,2.843338013,TRUE,TRUE
42:17.7,0.318706125,0.143988952,0.30733481,0.124075241,3.032623291,2.843338013,TRUE,TRUE
42:17.7,0.319019526,0.141992137,0.307231635,0.125240535,3.042129517,2.858016968,TRUE,TRUE
42:17.7,0.319019526,0.141992137,0.307231635,0.125240535,3.042129517,2.858016968,TRUE,TRUE
42:17.7,0.319019526,0.141992137,0.307231635,0.125240535,3.042129517,2.858016968,TRUE,TRUE
42:17.7,0.321314305,0.142903134,0.305195153,0.121870354,3.064910889,2.873748779,TRUE,TRUE
42:17.7,0.321314305,0.142903134,0.305195153,0.121870354,3.064910889,2.873748779,TRUE,TRUE
42:17.7,0.321314305,0.142903134,0.305195153,0.121870354,3.064910889,2.873748779,TRUE,TRUE
42:17.7,0.321101159,0.145075813,0.307089925,0.122842804,3.065582275,2.874954224,TRUE,TRUE
42:17.7,0.321101159,0.145075813,0.307089925,0.122842804,3.065582275,2.874954224,TRUE,TRUE
42:17.7,0.321101159,0.145075813,0.307089925,0.122842804,3.065582275,2.874954224,TRUE,TRUE
